business_address,business_city,business_id,business_latitude,business_location,business_longitude,business_name,business_phone_number,business_postal_code,business_state,full_adress,inspection_date,inspection_id,inspection_type,risk_category,violation_description,violation_id,inspection_score
330 TOWNSEND ST 101,San Francisco,99507.0,0.0,,0.0,SLICES,14155768667.0,94107,CA,330 TOWNSEND ST 101 San Francisco 94107 CA,05/17/2019 12:00:00 AM,99507_20190517,Routine - Unscheduled,Low Risk,Unclean or degraded floors walls or ceilings,99507_20190517_103154,94.0
"Pier 15, the Embarcadero",San Francisco,87154.0,37.80158660000001,,-122.397443782056,Seaglass Restaurant,,94111,CA,"Pier 15, the Embarcadero San Francisco 94111 CA",09/12/2019 12:00:00 AM,87154_20190912,Routine - Unscheduled,Low Risk,Low risk vermin infestation,87154_20190912_103161,92.0
2162 24th Ave,San Francisco,5794.0,37.74635735,POINT (-122.481299 37.747228),-122.480238597746,LINCOLN HIGH SCHOOL,14155752700.0,94116,CA,2162 24th Ave San Francisco 94116 CA,05/21/2019 12:00:00 AM,5794_20190521,Routine - Unscheduled,,,,100.0
"450 Post St, 4th Floor",San Francisco,3207.0,0.0,POINT (-122.409284 37.788188),0.0,Farallon Restaurant,,94102,CA,"450 Post St, 4th Floor San Francisco 94102 CA",12/18/2018 12:00:00 AM,3207_20181218,Routine - Unscheduled,,,,100.0
443 Burnett Ave,San Francisco,5851.0,37.7473309,POINT (-122.443967 37.754685),-122.4448956,ROOFTOP SCHOOL,14155695692.0,94131,CA,443 Burnett Ave San Francisco 94131 CA,05/22/2019 12:00:00 AM,5851_20190522,Routine - Unscheduled,,,,100.0
4033 Judah St,San Francisco,34201.0,0.0,POINT (-122.505349 37.760469),0.0,Trouble Coffee Company,,,CA,,05/15/2018 12:00:00 AM,34201_20180515,Routine - Unscheduled,Low Risk,Food safety certificate or food handler card not available,34201_20180515_103157,96.0
1290 9th Ave,San Francisco,82337.0,37.764364,,-122.4662196,San Francisco Hometown Creamery,14151407802.0,94122,CA,1290 9th Ave San Francisco 94122 CA,04/05/2019 12:00:00 AM,82337_20190405,Routine - Unscheduled,,,,100.0
428 11th St,San Francisco,69737.0,37.7698465,,-122.411946486015,StrEat Cervezas,14155890933.0,94103,CA,428 11th St San Francisco 94103 CA,08/01/2018 12:00:00 AM,69737_20180801,Routine - Unscheduled,High Risk,Mobile food facility not operating with an approved commissary,69737_20180801_103170,87.0
1890 FILLMORE St,San Francisco,64346.0,37.786923,POINT (-122.433362 37.786951),-122.433299,Fillmore Bake Shop,,94115,CA,1890 FILLMORE St San Francisco 94115 CA,06/25/2019 12:00:00 AM,64346_20190625,Routine - Unscheduled,Moderate Risk,Foods not protected from contamination,64346_20190625_103133,94.0
4 Embarcadero Ctr  Lobby LV,San Francisco,97848.0,0.0,,0.0,HARBORVIEW RESTAURANT & BAR,14155869923.0,94111,CA,4 Embarcadero Ctr  Lobby LV San Francisco 94111 CA,10/30/2018 12:00:00 AM,97848_20181030,Routine - Unscheduled,,,,100.0
50 Post St #63,San Francisco,71910.0,0.0,,0.0,Giorgio's Pizzeria,,94104,CA,50 Post St #63 San Francisco 94104 CA,10/30/2017 12:00:00 AM,71910_20171030,Routine - Unscheduled,Low Risk,Improper food labeling or menu misrepresentation,71910_20171030_103141,90.0
